Date,Close,High,Low,Open,Volume
2006-02-20,232.97613525390625,243.03265907781585,232.97613525390622,241.35657177383092,499830000
2006-02-27,253.0892333984375,254.76532103683772,234.65226937603475,238.00444465283525,774900000
2006-03-06,256.4413757324219,256.4413757324219,241.35658892463235,251.41311346315868,615120000
2006-03-13,269.8500671386719,271.526154512204,244.70875653569004,256.4413681504149,1198330000
2006-03-20,263.1457824707031,281.5827481215167,261.4696946842655,279.9066603350791,1052570000
2006-03-27,279.9066162109375,284.93487877760106,264.8218285109469,268.1740035553892,518310000
2006-04-03,305.0480041503906,313.4284438248519,273.20233338743776,279.90668512700677,1018730000
2006-04-10,289.96319580078125,305.04798633376987,283.2588444527863,305.04798633376987,822400000
2006-04-17,316.78057861328125,330.18928035352593,288.2870874152612,291.6392628503224,922590000
2006-04-24,293.3152770996094,313.428324672154,291.6391898018973,316.78049926757814,1291260000
2006-05-01,291.6392822265625,303.37189702878055,286.61101873989764,294.99145788433907,1092890000
2006-05-08,301.69573974609375,315.10443929036455,289.96312764485674,296.66747741699214,1431950000
2006-05-15,279.9066162109375,298.3435789553705,268.1740035553892,286.6109662998222,1463290000
2006-05-22,274.87835693359375,276.5544444758717,259.79356905309163,269.8500943067597,940590000
2006-05-29,273.2022705078125,284.93488335170633,268.17400786042947,278.2305331551956,855830000
2006-06-05,266.49798583984375,279.90668952989876,256.44145807230245,278.2306015686419,1218200000
2006-06-12,286.1887512207031,286.1887512207031,251.91464927810395,267.3379951522736,1904820000
2006-06-19,279.33392333984375,286.18874354450253,275.9065132375144,281.04762839100846,386870000
2006-06-26,281.0476379394531,286.18875326761383,265.62429195497094,274.1928175019055,650670000
2006-07-03,301.61212158203125,301.61212158203125,281.04765874689275,293.0435954007236,964130000
2006-07-10,282.76141357421875,301.61217447916664,279.33400250059185,298.18476340553974,338370000
2006-07-17,275.9066162109375,277.62032190168867,267.3380877571817,282.7614389739422,886570000
2006-07-24,275.9066162109375,279.33402759243984,267.3380877571817,270.76549913868405,1056850000
2006-07-31,287.9024353027344,299.89837010701496,279.3339104425339,286.1887303306943,1748900000
2006-08-07,281.0476379394531,291.3298685957746,279.3339328300662,286.18875326761383,1168880000
2006-08-14,294.75732421875,298.18473496547966,282.7613866051962,287.9025027252907,1115430000
2006-08-21,303.3258972167969,308.4670141187765,293.04366341283765,294.7573690468309,1693540000
2006-08-28,310.18060302734375,311.8943080164451,301.612078081837,306.7531930491411,1211710000
2006-09-04,306.7532958984375,315.3218237168296,305.03959033475905,315.3218237168296,1337470000
2006-09-11,311.8944396972656,311.8944396972656,301.6122054215316,306.7533225593986,753390000
2006-09-18,332.45880126953125,332.45880126953125,311.8943393353334,311.8943393353334,2961630000
2006-09-25,330.7451171875,337.5999382691062,327.3177066466969,337.5999382691062,891300000
2006-10-02,323.8903503417969,330.7451725712529,322.1766447844329,325.6040558991609,707820000
2006-10-09,320.46282958984375,323.8902395319811,310.18059976343164,318.74912461877506,1938880000
2006-10-16,327.74615478515625,336.41668798053075,322.54383486793154,326.0120481460813,1318990000
2006-10-23,327.74615478515625,327.74615478515625,327.74615478515625,327.74615478515625,0
